"code_tract","mean_age","mode_age","imputed"
"350050105000028",29.7777777777778,"idade_30a39",FALSE
"350050105000029",33.8767605633803,"idade_40a49",FALSE
"350050105000030",33.200495049505,"idade_20a29",FALSE
"350055005000001",35.0291411042945,"idade_0a9",FALSE
"350055005000002",37.7464664310954,"idade_30a39",FALSE
"350055005000003",38.390214797136,"idade_40a49",FALSE
"350055005000004",34.3576158940397,"idade_20a29",FALSE
"350055005000005",30.0023364485981,"idade_30a39",FALSE
"350055005000006",35.5755148741419,"idade_20a29",FALSE
"350055005000007",35.5015527950311,"idade_20a29",FALSE
"350055005000008",45.6213235294118,"idade_60a69",FALSE
"350055005000009",36.4938271604938,"idade_60a69",FALSE
"350055005000012",33.7103077121752,"idade_20a29",TRUE
"350055005000013",33.7103077121752,"idade_20a29",TRUE
"350055005000014",41.6428571428571,"idade_60a69",FALSE
"350055005000015",33.7103077121752,"idade_20a29",TRUE
"350055005000016",28.9436201780415,"idade_0a9",FALSE
"350055005000017",30.8197026022305,"idade_20a29",FALSE
"350055005000018",32.78125,"idade_0a9",FALSE
"350055005000019",32.8290816326531,"idade_30a39",FALSE
"350055005000021",37.3333333333333,"idade_50a59",FALSE
"350060005000001",39.5,"idade_30a39",FALSE
"350060005000002",38.9257703081232,"idade_20a29",FALSE
"350060005000003",37.5936454849498,"idade_40a49",FALSE
"350060005000004",43.6442307692308,"idade_70",FALSE
"350060005000005",41.3767908309456,"idade_40a49",FALSE
"350060005000006",42.5707395498392,"idade_70",FALSE
"350060005000007",42.3853046594982,"idade_60a69",FALSE
"350070905000001",40.8249651324965,"idade_40a49",FALSE
"350070905000002",39.4354338842975,"idade_30a39",FALSE
"350070905000003",42.0442913385827,"idade_40a49",FALSE
"350070905000004",40.6922365988909,"idade_20a29",FALSE
"350070905000005",36.1305620608899,"idade_20a29",FALSE
"350070905000006",36.7765151515151,"idade_20a29",FALSE
"350070905000007",38.797619047619,"idade_30a39",FALSE
"350070905000008",33.9264705882353,"idade_20a29",FALSE
"350070905000009",32.7397572078907,"idade_20a29",FALSE
"350070905000010",37.1066790352505,"idade_20a29",FALSE
"350070905000011",34.1744471744472,"idade_30a39",FALSE
"350070905000012",30.9900519031142,"idade_20a29",FALSE
"350070905000013",28.9730476848652,"idade_20a29",FALSE
